"chart_position.x","chart_date.x","song","artist","instance.x","time_on_chart.x","consecutive_weeks.x","previous_week.x","peak_position.x","worst_position.x","year.x","month.x","week.x","chart_position.y","chart_date.y","instance.y","time_on_chart.y","consecutive_weeks.y","previous_week.y","peak_position.y","worst_position.y","year.y","month.y","week.y","spotify_song_id","spotify_artist_id","genres","main_genres"
7,1959-12-19,"Mack The Knife","Bobby Darin",1,18,17,3,1,59,1959,12,51,1,1959-11-28,1,15,14,1,1,59,1959,11,48,"3E5ndyOfO6vFDEIE42HA8o","0EodhzA6yW1bIdD5B4tcmJ","adult standards, easy listening, lounge, rock-and-roll, vocal jazz","classic_folk, pop, rock, jazz_blues"
8,1959-12-26,"Mack The Knife","Bobby Darin",1,19,18,7,1,59,1959,12,52,1,1959-11-28,1,15,14,1,1,59,1959,11,48,"3E5ndyOfO6vFDEIE42HA8o","0EodhzA6yW1bIdD5B4tcmJ","adult standards, easy listening, lounge, rock-and-roll, vocal jazz","classic_folk, pop, rock, jazz_blues"
12,1960-01-02,"Mack The Knife","Bobby Darin",1,20,19,8,1,59,1960,1,1,1,1959-11-28,1,15,14,1,1,59,1959,11,48,"3E5ndyOfO6vFDEIE42HA8o","0EodhzA6yW1bIdD5B4tcmJ","adult standards, easy listening, lounge, rock-and-roll, vocal jazz","classic_folk, pop, rock, jazz_blues"
13,1960-01-09,"Mack The Knife","Bobby Darin",1,21,20,12,1,59,1960,1,2,1,1959-11-28,1,15,14,1,1,59,1959,11,48,"3E5ndyOfO6vFDEIE42HA8o","0EodhzA6yW1bIdD5B4tcmJ","adult standards, easy listening, lounge, rock-and-roll, vocal jazz","classic_folk, pop, rock, jazz_blues"
19,1960-01-16,"Mack The Knife","Bobby Darin",1,22,21,13,1,59,1960,1,3,1,1959-11-28,1,15,14,1,1,59,1959,11,48,"3E5ndyOfO6vFDEIE42HA8o","0EodhzA6yW1bIdD5B4tcmJ","adult standards, easy listening, lounge, rock-and-roll, vocal jazz","classic_folk, pop, rock, jazz_blues"
32,1960-01-23,"Mack The Knife","Bobby Darin",1,23,22,19,1,59,1960,1,4,1,1959-11-28,1,15,14,1,1,59,1959,11,48,"3E5ndyOfO6vFDEIE42HA8o","0EodhzA6yW1bIdD5B4tcmJ","adult standards, easy listening, lounge, rock-and-roll, vocal jazz","classic_folk, pop, rock, jazz_blues"
40,1960-01-30,"Mack The Knife","Bobby Darin",1,24,23,32,1,59,1960,1,5,1,1959-11-28,1,15,14,1,1,59,1959,11,48,"3E5ndyOfO6vFDEIE42HA8o","0EodhzA6yW1bIdD5B4tcmJ","adult standards, easy listening, lounge, rock-and-roll, vocal jazz","classic_folk, pop, rock, jazz_blues"
59,1960-02-06,"Mack The Knife","Bobby Darin",1,25,24,40,1,59,1960,2,6,1,1959-11-28,1,15,14,1,1,59,1959,11,48,"3E5ndyOfO6vFDEIE42HA8o","0EodhzA6yW1bIdD5B4tcmJ","adult standards, easy listening, lounge, rock-and-roll, vocal jazz","classic_folk, pop, rock, jazz_blues"
76,1960-02-13,"Mack The Knife","Bobby Darin",1,26,25,59,1,76,1960,2,7,1,1959-11-28,1,15,14,1,1,59,1959,11,48,"3E5ndyOfO6vFDEIE42HA8o","0EodhzA6yW1bIdD5B4tcmJ","adult standards, easy listening, lounge, rock-and-roll, vocal jazz","classic_folk, pop, rock, jazz_blues"
6,1960-02-20,"Running Bear","Johnny Preston",2,19,13,2,1,86,1960,2,8,6,1960-02-20,2,19,13,2,1,86,1960,2,8,"1mE8QtaSFxEQnr3SgxmIRf","1B8n8vtEeexQ5NKehHTkeo","doo-wop, rhythm and blues, rock-and-roll, rockabilly","r&b_reggae, jazz_blues, rock"
